id,code,first_name,second_name,web_name,photo,element_type,season
227,460028,Levi,Samuels Colwill,Colwill,https://resources.premierleague.com/premierleague25/photos/players/110x140/460028.png,2,2526
228,482609,Malo,Gusto,Gusto,https://resources.premierleague.com/premierleague25/photos/players/110x140/482609.png,2,2526
229,242880,Benoît,Badiashile Mukinayi,B.Badiashile,https://resources.premierleague.com/premierleague25/photos/players/110x140/242880.png,2,2526
230,444463,Wesley,Fofana,Fofana,https://resources.premierleague.com/premierleague25/photos/players/110x140/444463.png,2,2526
231,574458,Mamadou,Sarr,M.Sarr,https://resources.premierleague.com/premierleague25/photos/players/110x140/574458.png,2,2526
232,109646,Tosin,Adarabioyo,Tosin,https://resources.premierleague.com/premierleague25/photos/players/110x140/109646.png,2,2526
233,577016,Josh,Acheampong,Acheampong,https://resources.premierleague.com/premierleague25/photos/players/110x140/577016.png,2,2526
234,622758,Aarón,Anselmino,Anselmino,https://resources.premierleague.com/premierleague25/photos/players/110x140/622758.png,2,2526
235,244851,Cole,Palmer,Palmer,https://resources.premierleague.com/premierleague25/photos/players/110x140/244851.png,3,2526
236,247632,Pedro,Lomba Neto,Neto,https://resources.premierleague.com/premierleague25/photos/players/110x140/247632.png,3,2526
237,448047,Enzo,Fernández,Enzo,https://resources.premierleague.com/premierleague25/photos/players/110x140/448047.png,3,2526
238,624773,Estêvão,Almeida de Oliveira Gonçalves,Estêvão,https://resources.premierleague.com/premierleague25/photos/players/110x140/624773.png,3,2526
239,463936,Jamie,Bynoe-Gittens,Gittens,https://resources.premierleague.com/premierleague25/photos/players/110x140/463936.png,3,2526
240,213198,Christopher,Nkunku,Nkunku,https://resources.premierleague.com/premierleague25/photos/players/110x140/213198.png,3,2526
241,486672,Moisés,Caicedo Corozo,Caicedo,https://resources.premierleague.com/premierleague25/photos/players/110x140/486672.png,3,2526
244,514356,Roméo,Lavia,Lavia,https://resources.premierleague.com/premierleague25/photos/players/110x140/514356.png,3,2526
245,465920,Mykhailo,Mudryk,Mudryk,https://resources.premierleague.com/premierleague25/photos/players/110x140/465920.png,3,2526
246,532605,Andrey,Nascimento dos Santos,Andrey Santos,https://resources.premierleague.com/premierleague25/photos/players/110x140/532605.png,3,2526
247,491007,Dário,Luís Essugo,D.Essugo,https://resources.premierleague.com/premierleague25/photos/players/110x140/491007.png,3,2526
248,611134,Kendry,Páez Andrade,Paez,https://resources.premierleague.com/premierleague25/photos/players/110x140/611134.png,3,2526
249,475168,João Pedro,Junqueira de Jesus,João Pedro,https://resources.premierleague.com/premierleague25/photos/players/110x140/475168.png,4,2526
250,463034,Liam,Delap,Delap,https://resources.premierleague.com/premierleague25/photos/players/110x140/463034.png,4,2526
251,517052,Nicolas,Jackson,N.Jackson,https://resources.premierleague.com/premierleague25/photos/players/110x140/517052.png,4,2526
252,499309,Marc,Guiu Paz,Marc Guiu,https://resources.premierleague.com/premierleague25/photos/players/110x140/499309.png,4,2526
453,493105,Alejandro,Garnacho Ferreyra,Garnacho,https://resources.premierleague.com/premierleague25/photos/players/110x140/493105.png,3,2526
672,551210,Jorrel,Hato,Hato,https://resources.premierleague.com/premierleague25/photos/players/110x140/551210.png,2,2526
743,611912,Landon,Emenalo,Emenalo,https://resources.premierleague.com/premierleague25/photos/players/110x140/611912.png,3,2526
789,518335,Max,Merrick,Merrick,https://resources.premierleague.com/premierleague25/photos/players/110x140/518335.png,1,2526
803,499857,Teddy,Sharman-Lowe,Sharman-Lowe,https://resources.premierleague.com/premierleague25/photos/players/110x140/499857.png,1,2526
829,619734,Jesse,Derry,Derry,https://resources.premierleague.com/premierleague25/photos/players/110x140/619734.png,3,2526
833,671606,Mathis,Eboué,Eboué,https://resources.premierleague.com/premierleague25/photos/players/110x140/671606.png,3,2526
834,616286,Ryan,Kavuma-McQueen,Kavuma-McQueen,https://resources.premierleague.com/premierleague25/photos/players/110x140/616286.png,3,2526
840,567119,Shumaira,Mheuka,Mheuka,https://resources.premierleague.com/premierleague25/photos/players/110x140/567119.png,4,2526
253,172649,Dean,Henderson,Henderson,https://resources.premierleague.com/premierleague25/photos/players/110x140/172649.png,1,2526
254,121709,Walter,Benítez,Benitez,https://resources.premierleague.com/premierleague25/photos/players/110x140/121709.png,1,2526
255,169593,Remi,Matthews,Matthews,https://resources.premierleague.com/premierleague25/photos/players/110x140/169593.png,1,2526
256,247348,Daniel,Muñoz Mejía,Muñoz,https://resources.premierleague.com/premierleague25/photos/players/110x140/247348.png,2,2526
257,437499,Maxence,Lacroix,Lacroix,https://resources.premierleague.com/premierleague25/photos/players/110x140/437499.png,2,2526
258,244723,Tyrick,Mitchell,Mitchell,https://resources.premierleague.com/premierleague25/photos/players/110x140/244723.png,2,2526
259,218364,Borna,Sosa,Sosa,https://resources.premierleague.com/premierleague25/photos/players/110x140/218364.png,2,2526
261,427623,Chris,Richards,Richards,https://resources.premierleague.com/premierleague25/photos/players/110x140/427623.png,2,2526
262,515621,Chadi,Riad Dnanou,Chadi Riad,https://resources.premierleague.com/premierleague25/photos/players/110x140/515621.png,2,2526
263,57328,Nathaniel,Clyne,Clyne,https://resources.premierleague.com/premierleague25/photos/players/110x140/57328.png,2,2526
264,156074,Rob,Holding,Holding,https://resources.premierleague.com/premierleague25/photos/players/110x140/156074.png,2,2526
265,590012,Caleb,Kporha,Kporha,https://resources.premierleague.com/premierleague25/photos/players/110x140/590012.png,2,2526
267,232185,Ismaïla,Sarr,Sarr,https://resources.premierleague.com/premierleague25/photos/players/110x140/232185.png,3,2526
268,438464,Cheick,Doucouré,Doucouré,https://resources.premierleague.com/premierleague25/photos/players/110x140/438464.png,3,2526
269,606921,Romain,Esse,Esse,https://resources.premierleague.com/premierleague25/photos/players/110x140/606921.png,3,2526
270,108413,Will,Hughes,Hughes,https://resources.premierleague.com/premierleague25/photos/players/110x140/108413.png,3,2526
271,209400,Daichi,Kamada,Kamada,https://resources.premierleague.com/premierleague25/photos/players/110x140/209400.png,3,2526
272,152551,Jefferson,Lerma Solís,Lerma,https://resources.premierleague.com/premierleague25/photos/players/110x140/152551.png,3,2526
273,496221,Adam,Wharton,Wharton,https://resources.premierleague.com/premierleague25/photos/players/110x140/496221.png,3,2526
274,579075,Asher,Agbinone,Agbinone,https://resources.premierleague.com/premierleague25/photos/players/110x140/579075.png,3,2526
275,466117,Naouirou,Ahamada,Ahamada,https://resources.premierleague.com/premierleague25/photos/players/110x140/466117.png,3,2526
276,489706,Justin,Devenny,Devenny,https://resources.premierleague.com/premierleague25/photos/players/110x140/489706.png,3,2526
277,450535,Malcolm,Ebiowei,Ebiowei,https://resources.premierleague.com/premierleague25/photos/players/110x140/450535.png,3,2526
278,450542,Jesurun,Rak-Sakyi,J.Rak-Sakyi,https://resources.premierleague.com/premierleague25/photos/players/110x140/450542.png,3,2526
279,536694,Matheus,França de Oliveira,M.França,https://resources.premierleague.com/premierleague25/photos/players/110x140/536694.png,3,2526
280,531989,David,Ozoh,Ozoh,https://resources.premierleague.com/premierleague25/photos/players/110x140/531989.png,3,2526
281,530318,Kaden,Rodney,Rodney,https://resources.premierleague.com/premierleague25/photos/players/110x140/530318.png,3,2526
282,574398,Franco,Umeh-Chibueze,Umeh,https://resources.premierleague.com/premierleague25/photos/players/110x140/574398.png,3,2526
283,231747,Jean-Philippe,Mateta,Mateta,https://resources.premierleague.com/premierleague25/photos/players/110x140/231747.png,4,2526
284,205533,Eddie,Nketiah,Nketiah,https://resources.premierleague.com/premierleague25/photos/players/110x140/205533.png,4,2526
285,199670,Odsonne,Édouard,Édouard,https://resources.premierleague.com/premierleague25/photos/players/110x140/199670.png,4,2526
286,576980,Zach,Marsh,Marsh,https://resources.premierleague.com/premierleague25/photos/players/110x140/576980.png,4,2526
580,242898,Brennan,Johnson,Johnson,https://resources.premierleague.com/premierleague25/photos/players/110x140/242898.png,3,2526
654,247412,Jørgen,Strand Larsen,Strand Larsen,https://resources.premierleague.com/premierleague25/photos/players/110x140/247412.png,4,2526
677,485337,Evann,Guessand,Guessand,https://resources.premierleague.com/premierleague25/photos/players/110x140/485337.png,3,2526
690,590014,Rio,Cardines,Cardines,https://resources.premierleague.com/premierleague25/photos/players/110x140/590014.png,3,2526
712,488024,Yéremy,Pino Santos,Yeremy,https://resources.premierleague.com/premierleague25/photos/players/110x140/488024.png,3,2526
723,651426,Jaydee,Canvot,Canvot,https://resources.premierleague.com/premierleague25/photos/players/110x140/651426.png,2,2526
732,660392,Christantus,Uche,Uche,https://resources.premierleague.com/premierleague25/photos/players/110x140/660392.png,4,2526
762,672492,Joél,Drakes-Thomas,Drakes-Thomas,https://resources.premierleague.com/premierleague25/photos/players/110x140/672492.png,3,2526
773,643426,Dean,Benamar,Benamar,https://resources.premierleague.com/premierleague25/photos/players/110x140/643426.png,2,2526
780,631106,Ben,Casey,Casey,https://resources.premierleague.com/premierleague25/photos/players/110x140/631106.png,4,2526
793,591384,George,King,King,https://resources.premierleague.com/premierleague25/photos/players/110x140/591384.png,2,2526
798,502988,Danny,Imray,Imray,https://resources.premierleague.com/premierleague25/photos/players/110x140/502988.png,2,2526
242,215413,Kiernan,Dewsbury-Hall,Dewsbury-Hall,https://resources.premierleague.com/premierleague25/photos/players/110x140/215413.png,3,2526
243,550615,Tyrique,George,George,https://resources.premierleague.com/premierleague25/photos/players/110x140/550615.png,3,2526
